Category,Supplier Name,Supplier Website
Apparel,Levi Strauss & Co.,https://www.levi.com/global
Apparel,Everlane,https://www.everlane.com/
Apparel,Patagonia,https://www.patagonia.com/home/
Footwear,Nike,https://www.nike.com/
Footwear,Doc Martens,https://www.drmartens.com/us/en/
Footwear,Allbirds,https://www.allbirds.com/
Accessories,Kate Spade,https://www.katespade.com/
Accessories,Herschel Supply Co.,https://herschel.com/
Accessories,Daniel Wellington,https://global.danielwellington.com/
Fiction,Penguin Random House,https://www.penguinrandomhouse.com/
Fiction,Macmillan Publishers,https://us.macmillan.com/
Fiction,Hachette Book Group,https://www.hachettebooks.com/
Non-Fiction,National Geographic,https://www.nationalgeographic.com/
Non-Fiction,Simon & Schuster,https://www.simonandschuster.com/
Non-Fiction,MIT Press,https://mitpress.mit.edu/
Children's Books,Scholastic,https://www.scholastic.com/
Children's Books,Random House Children's Books,https://www.randomhousekids.com/
Children's Books,Penguin Young Readers,https://www.penguin.com/youngreaders/
Audio & Video,Sony Pictures Entertainment,https://www.sonypictures.com/
Audio & Video,Universal Pictures,https://www.universalpictures.com/
Audio & Video,Warner Bros.,https://www.warnerbros.com/
Computing,Apple,https://www.apple.com/
Computing,Microsoft,https://www.microsoft.com/
Computing,Dell,https://www.dell.com/
Gaming,Nintendo,https://www.nintendo.com/
Gaming,Sony Interactive Entertainment,https://www.playstation.com/
Gaming,Microsoft Xbox,https://www.xbox.com/
Appliances,Whirlpool,https://www.whirlpool.com/
Appliances,LG Electronics,https://www.lg.com/us/home
Appliances,Samsung Electronics,https://www.samsung.com/ph/appliances/
Smart Home & Security,Google Nest,https://store.google.com/us/collection/nest
Smart Home & Security,Amazon Alexa,https://www.amazon.com/echo/
Smart Home & Security,Ring,https://ring.com/
